kh_md_ft,kh_welltest,lateral_ft,depletion_idx,offset_wct,gor_scf,frac_efficiency_post,productivity_boed
849.0,882.0,7634.0,0.31,0.22,635.0,0.2654,10.8
289.0,331.0,8373.0,0.37,0.16,618.0,0.192,7.1
1212.0,1263.0,5490.0,0.19,0.42,1872.0,0.2638,10.5
1412.0,1975.0,7136.0,0.76,0.18,2011.0,0.2488,9.4
140.0,173.0,5419.0,0.23,0.36,1121.0,0.076,3.0
235.0,224.0,4154.0,0.43,0.31,824.0,0.1054,3.7
737.0,702.0,10866.0,0.27,0.25,940.0,0.3799,13.7
516.0,554.0,5814.0,0.29,0.33,1284.0,0.2301,8.0
656.0,579.0,8152.0,0.22,0.39,1764.0,0.3435,12.3
336.0,400.0,6102.0,0.38,0.56,875.0,0.1727,6.7
1344.0,1419.0,6594.0,0.38,0.07,2083.0,0.3388,13.5
1239.0,1288.0,6784.0,0.15,0.06,998.0,0.3362,13.8
701.0,777.0,6345.0,0.16,0.15,2119.0,0.2726,10.4
1639.0,2122.0,8462.0,0.18,0.3,2348.0,0.3997,15.5
967.0,992.0,10727.0,0.36,0.22,828.0,0.4418,17.1
334.0,329.0,7000.0,0.45,0.27,2335.0,0.1819,7.3
893.0,1120.0,10813.0,0.69,0.66,1911.0,0.2838,10.8
309.0,357.0,8675.0,0.74,0.03,2274.0,0.1497,5.9
1343.0,1280.0,8250.0,0.27,0.16,1194.0,0.3603,14.3
639.0,640.0,5660.0,0.2,0.32,2227.0,0.2018,7.7
574.0,591.0,4440.0,0.59,0.06,1454.0,0.1455,5.7
386.0,407.0,9964.0,0.52,0.62,879.0,0.1354,5.6
1769.0,1443.0,8018.0,0.54,0.88,2493.0,0.3,12.1
588.0,466.0,6901.0,0.67,0.09,2396.0,0.1097,4.1
472.0,413.0,9684.0,0.26,0.16,750.0,0.2183,8.5
502.0,434.0,6174.0,0.3,0.34,1412.0,0.1696,7.3
1018.0,925.0,9485.0,0.69,0.46,2472.0,0.4299,16.1
891.0,980.0,6296.0,0.18,0.24,1597.0,0.2726,10.6
925.0,902.0,10446.0,0.44,0.61,1494.0,0.2968,12.1
939.0,967.0,5876.0,0.82,0.61,891.0,0.1216,4.9
3690.0,3071.0,4963.0,0.42,0.43,1339.0,0.4856,18.6
481.0,448.0,8887.0,0.47,0.41,1496.0,0.1475,6.4
442.0,482.0,5140.0,0.35,0.17,1928.0,0.2365,9.0
347.0,379.0,10646.0,0.46,0.24,1400.0,0.1728,6.4
1089.0,977.0,8589.0,0.45,0.26,1770.0,0.3891,14.4
1641.0,1681.0,5616.0,0.22,0.17,703.0,0.3313,12.1
607.0,844.0,5462.0,0.43,0.46,2028.0,0.1489,6.0
340.0,339.0,10467.0,0.39,0.22,507.0,0.2447,9.0
344.0,310.0,8255.0,0.18,0.1,1784.0,0.2596,9.9
1119.0,1091.0,10256.0,0.66,0.18,2153.0,0.3036,12.3
1205.0,1222.0,4772.0,0.04,0.35,2034.0,0.2523,9.5
1027.0,1004.0,10478.0,0.23,0.71,795.0,0.3442,13.0
391.0,389.0,7640.0,0.46,0.6,2188.0,0.1708,6.1
801.0,645.0,8679.0,0.4,0.54,658.0,0.2148,7.8
730.0,632.0,6610.0,0.11,0.21,633.0,0.1583,6.3
792.0,775.0,4414.0,0.17,0.25,2145.0,0.158,6.0
1336.0,1303.0,10706.0,0.53,0.17,865.0,0.3991,15.2
795.0,731.0,10962.0,0.35,0.44,1394.0,0.2442,9.3
1145.0,1115.0,6552.0,0.48,0.1,2373.0,0.2522,9.9
702.0,709.0,10607.0,0.84,0.25,918.0,0.1995,7.1
838.0,958.0,5174.0,0.41,0.12,2061.0,0.1852,7.4
1102.0,1086.0,5083.0,0.28,0.38,1669.0,0.2091,7.5
207.0,220.0,4512.0,0.35,0.53,1311.0,0.1035,4.3
515.0,475.0,6739.0,0.38,0.23,1418.0,0.1972,7.8
457.0,497.0,4366.0,0.47,0.07,1321.0,0.1974,7.4
399.0,422.0,6763.0,0.41,0.52,2155.0,0.1482,6.1
534.0,608.0,4969.0,0.82,0.25,2128.0,0.083,3.3
2199.0,2448.0,9114.0,0.31,0.29,1247.0,0.4338,16.4
333.0,363.0,9834.0,0.89,0.26,1894.0,0.1183,5.0
1443.0,1422.0,8815.0,0.42,0.46,1564.0,0.3926,14.4
173.0,180.0,5403.0,0.17,0.2,1996.0,0.1098,4.0
509.0,597.0,9368.0,0.18,0.11,600.0,0.2441,8.8
758.0,687.0,5747.0,0.49,0.53,1172.0,0.1679,6.4
1063.0,968.0,9316.0,0.24,0.1,1172.0,0.3747,14.8
1175.0,1207.0,7972.0,0.67,0.19,1694.0,0.2609,10.3
1255.0,1335.0,6567.0,0.19,0.31,915.0,0.258,9.8
503.0,445.0,4584.0,0.11,0.28,1563.0,0.1902,7.3
459.0,454.0,9793.0,0.15,0.63,2460.0,0.2288,9.0
1321.0,1303.0,10578.0,0.66,0.37,587.0,0.3664,13.1
571.0,409.0,8661.0,0.13,0.64,1507.0,0.2063,8.1
240.0,232.0,10752.0,0.56,0.54,777.0,0.1641,5.9
269.0,262.0,10539.0,0.57,0.47,1665.0,0.1834,7.1
319.0,311.0,5362.0,0.72,0.4,982.0,0.0943,3.6
990.0,1224.0,9118.0,0.62,0.12,2305.0,0.2664,10.1
745.0,621.0,6445.0,0.29,0.03,1136.0,0.2799,10.6
1156.0,1021.0,7413.0,0.48,0.46,2417.0,0.2129,8.3
473.0,319.0,5099.0,0.56,0.13,508.0,0.1199,4.5
755.0,703.0,10823.0,0.66,0.49,2164.0,0.2097,7.8
1097.0,1034.0,9083.0,0.08,0.43,1023.0,0.4486,16.0
519.0,481.0,5868.0,0.16,0.12,903.0,0.1806,7.0
959.0,1132.0,6600.0,0.27,0.56,2268.0,0.2314,9.3
392.0,446.0,6957.0,0.34,0.19,1109.0,0.1191,4.8
497.0,503.0,9233.0,0.73,0.04,1668.0,0.2271,7.9
490.0,464.0,10480.0,0.46,0.27,1974.0,0.2589,11.1
256.0,298.0,6250.0,0.37,0.19,1338.0,0.1061,4.4
982.0,979.0,7308.0,0.46,0.47,703.0,0.2649,10.2
457.0,404.0,8152.0,0.51,0.34,2345.0,0.1668,6.7
672.0,519.0,6753.0,0.41,0.02,1795.0,0.2411,9.0
977.0,915.0,7529.0,0.6,0.16,2285.0,0.2456,9.2
951.0,1065.0,4740.0,0.25,0.71,2035.0,0.1626,6.5
1133.0,1594.0,5174.0,0.56,0.19,2048.0,0.1821,6.6
615.0,620.0,6808.0,0.1,0.29,1680.0,0.19,7.8
474.0,423.0,10405.0,0.24,0.07,512.0,0.3043,12.2
624.0,522.0,6446.0,0.86,0.05,2265.0,0.1223,4.4
172.0,187.0,5749.0,0.56,0.35,2162.0,0.0824,3.4
209.0,160.0,9200.0,0.69,0.18,1954.0,0.1179,4.5
231.0,251.0,10644.0,0.49,0.23,2256.0,0.1618,5.8
300.0,339.0,7214.0,0.51,0.28,868.0,0.1355,6.0
