x_km,y_km,thickness_ft,fault_density,lateral_ft,proppant_lbft,eur_mboe
15.48,8.59,40.8,0.975,8356.0,1829.0,186.7
8.78,4.29,59.0,0.243,10386.0,1566.0,665.3
17.17,10.22,40.2,0.668,6668.0,1120.0,130.5
13.95,2.89,42.6,0.377,5156.0,2586.0,196.8
1.88,6.46,53.2,0.2,9654.0,1280.0,283.5
19.51,2.21,40.0,0.24,9214.0,1408.0,218.3
15.22,5.94,41.4,0.831,8273.0,1377.0,386.7
15.72,1.83,40.8,0.294,9892.0,2453.0,365.6
2.56,1.94,52.3,0.2,10041.0,2222.0,510.3
9.01,7.35,55.4,0.306,8527.0,1732.0,255.8
7.42,3.17,60.9,0.209,10796.0,2529.0,612.4
18.54,2.07,40.1,0.257,9318.0,1084.0,187.9
12.88,11.16,41.5,0.558,9061.0,2430.0,190.3
16.46,0.52,40.3,0.232,7169.0,1097.0,200.5
8.87,6.78,57.1,0.291,5014.0,1626.0,243.2
4.54,6.58,61.4,0.202,6446.0,1086.0,270.1
11.09,3.01,49.2,0.286,9584.0,2598.0,464.2
1.28,5.43,51.8,0.2,9259.0,2463.0,476.1
16.55,1.05,40.4,0.248,6986.0,1936.0,311.8
12.63,8.66,43.7,0.772,8753.0,1349.0,146.0
15.16,2.66,41.3,0.364,6172.0,1443.0,275.2
7.09,2.32,58.9,0.204,6582.0,1719.0,443.8
19.41,3.78,40.1,0.301,10684.0,1516.0,265.2
17.86,10.83,40.1,0.525,7479.0,1034.0,107.6
15.57,9.56,40.6,0.887,6470.0,2050.0,105.1
3.89,11.36,45.6,0.2,7923.0,1981.0,263.8
9.33,7.82,53.2,0.334,7322.0,2447.0,548.9
0.88,7.96,47.8,0.2,9377.0,1763.0,333.6
3.09,5.76,58.5,0.2,10773.0,1552.0,385.2
13.66,10.86,41.1,0.659,8550.0,1818.0,193.6
14.9,6.13,41.7,0.858,8547.0,1312.0,121.0
19.35,4.26,40.1,0.329,7189.0,2001.0,286.1
6.52,7.68,59.5,0.215,8388.0,2232.0,402.7
7.41,6.55,61.6,0.229,6916.0,1246.0,457.4
9.39,1.49,51.3,0.213,5007.0,1509.0,231.7
3.79,4.71,61.2,0.2,10197.0,2388.0,595.8
2.6,3.76,56.2,0.2,7577.0,1809.0,317.0
9.51,10.16,46.8,0.316,7953.0,1851.0,219.5
4.54,4.55,63.1,0.201,5501.0,2156.0,259.1
13.4,9.86,41.8,0.772,10023.0,1925.0,163.8
8.74,5.31,59.4,0.261,6022.0,1111.0,298.4
16.65,9.04,40.3,0.847,7464.0,2286.0,194.4
14.01,1.62,42.0,0.279,10042.0,2477.0,426.1
6.25,11.1,47.2,0.207,7747.0,1085.0,244.3
16.65,5.77,40.6,0.722,10587.0,1194.0,222.3
16.1,3.12,40.7,0.399,6256.0,2123.0,154.4
7.75,2.9,59.5,0.21,9291.0,1967.0,452.8
5.77,3.18,62.3,0.202,10868.0,1612.0,453.1
13.65,4.4,43.5,0.552,8298.0,1863.0,356.4
2.8,8.61,51.5,0.2,9153.0,2125.0,326.1
4.0,11.4,45.6,0.201,7359.0,1807.0,297.5
0.15,8.03,45.9,0.2,9508.0,1224.0,391.9
15.74,6.57,41.0,0.892,10453.0,1143.0,270.4
13.3,5.38,44.2,0.665,9218.0,1702.0,372.9
14.1,9.94,41.2,0.821,10616.0,2477.0,413.1
15.61,10.2,40.5,0.799,8532.0,1892.0,542.8
9.18,3.52,56.6,0.24,8463.0,1573.0,374.7
11.37,11.44,42.4,0.4,6828.0,2454.0,301.2
2.8,4.74,57.7,0.2,9258.0,1622.0,383.3
2.29,9.6,47.8,0.2,10292.0,1815.0,311.0
13.37,11.6,41.0,0.536,8878.0,1186.0,152.3
9.42,8.44,51.4,0.34,6398.0,2180.0,380.7
11.3,1.94,47.2,0.249,8265.0,2120.0,253.0
15.3,7.03,41.2,0.956,9536.0,2271.0,402.2
12.69,1.43,43.7,0.254,10636.0,1520.0,346.2
11.07,9.47,45.4,0.501,5940.0,1698.0,274.6
11.18,3.38,49.3,0.309,5765.0,1269.0,180.5
6.08,8.34,57.2,0.21,7478.0,2543.0,322.1
0.62,10.92,43.0,0.2,5754.0,1138.0,186.8
8.73,2.17,54.9,0.214,10883.0,2038.0,426.2
4.29,4.71,62.6,0.201,7546.0,2128.0,307.2
8.17,7.77,56.6,0.26,8202.0,1252.0,474.9
17.07,5.04,40.4,0.587,6363.0,1585.0,142.4
4.68,2.1,57.8,0.2,7695.0,1069.0,237.2
1.17,0.35,45.6,0.2,10908.0,1891.0,349.8
5.63,4.88,64.9,0.204,7932.0,2592.0,578.3
5.87,7.79,59.3,0.208,5053.0,1688.0,160.8
13.24,6.89,43.9,0.829,6455.0,2584.0,388.7
11.14,1.87,47.5,0.244,10871.0,1202.0,266.1
15.68,5.41,41.1,0.737,10934.0,1628.0,320.5
13.29,4.43,44.2,0.535,6263.0,2443.0,190.3
8.13,3.29,59.5,0.217,8692.0,2403.0,648.2
16.28,8.75,40.5,0.908,5461.0,1518.0,163.6
3.34,3.72,58.7,0.2,8465.0,2086.0,347.3
0.45,6.48,48.3,0.2,5756.0,2418.0,239.6
1.8,11.08,44.1,0.2,9912.0,2227.0,353.9
14.45,6.47,42.2,0.891,10637.0,2006.0,328.9
9.24,7.4,54.5,0.324,6038.0,1244.0,257.7
3.23,0.88,51.0,0.2,7776.0,1117.0,260.2
10.02,2.14,51.1,0.23,5612.0,1983.0,183.8
3.05,1.21,51.6,0.2,7035.0,1800.0,268.8
13.93,9.18,41.7,0.895,5391.0,1381.0,201.9
8.92,10.03,48.1,0.282,6587.0,1468.0,200.7
7.62,2.24,57.8,0.206,10941.0,1627.0,504.8
6.03,2.63,60.7,0.202,5268.0,1793.0,269.6
12.61,3.88,45.6,0.426,10154.0,1624.0,298.2
7.24,7.09,60.5,0.227,5465.0,1620.0,338.2
1.75,7.46,51.2,0.2,8174.0,1185.0,197.6
2.36,8.24,51.3,0.2,7713.0,2385.0,297.4
19.24,10.86,40.0,0.387,10589.0,1975.0,431.0
18.17,3.54,40.2,0.352,6194.0,1234.0,275.0
13.99,7.91,42.2,0.956,6078.0,1678.0,544.4
5.32,6.72,62.3,0.204,9492.0,1667.0,433.3
19.38,3.67,40.1,0.297,9354.0,1961.0,316.4
15.58,10.89,40.4,0.694,9195.0,1974.0,363.6
14.34,1.15,41.5,0.257,5157.0,2032.0,246.1
8.99,8.54,52.2,0.306,6560.0,2117.0,308.3
5.44,8.73,55.5,0.205,10039.0,1165.0,423.8
1.93,10.98,44.4,0.2,8605.0,1488.0,297.2
18.05,6.22,40.2,0.6,8613.0,1028.0,243.4
9.12,3.86,57.3,0.245,6775.0,1727.0,249.3
4.05,9.93,49.8,0.201,6561.0,1687.0,240.3
6.12,9.25,53.7,0.209,10679.0,2175.0,401.4
11.58,6.0,48.5,0.535,9367.0,1267.0,194.1
3.54,9.21,51.3,0.2,5761.0,2010.0,183.0
17.13,3.21,40.4,0.374,10626.0,1491.0,254.9
15.17,7.07,41.3,0.962,8494.0,1611.0,199.8
14.39,10.38,40.9,0.772,7000.0,2151.0,230.0
8.64,3.82,58.9,0.232,7383.0,1114.0,322.1
12.55,5.8,45.9,0.638,9352.0,1548.0,303.7
11.68,11.41,42.2,0.427,7258.0,1626.0,208.5
13.0,9.58,42.4,0.757,8472.0,2145.0,183.5
1.69,10.64,44.7,0.2,9263.0,1319.0,330.1
8.32,4.62,60.8,0.235,6172.0,2516.0,333.9
0.83,11.96,42.0,0.2,10665.0,2596.0,341.1
9.88,1.83,50.8,0.223,7137.0,2310.0,299.8
6.6,6.23,63.5,0.213,7516.0,1480.0,299.8
2.89,5.75,57.8,0.2,9191.0,2062.0,376.6
2.07,9.58,47.4,0.2,8653.0,1133.0,237.4
11.75,10.9,42.6,0.479,7641.0,2394.0,245.7
