hour,speed,flow,p_suct,p_disc,t_suct,t_disc,vib,power
0,7999.59,89.66,349.35,1001.34,90.04,228.67,2.18,143.13
1,8021.41,92.54,348.01,1004.65,89.17,229.75,1.96,138.81
2,8273.4,99.01,348.98,1011.29,89.22,232.26,2.31,148.71
3,8345.19,105.83,355.17,1030.87,89.16,228.91,2.44,171.94
4,8263.99,100.4,351.99,1026.43,89.29,233.53,2.03,161.9
5,8357.77,104.71,348.32,1017.83,88.1,230.9,2.12,163.04
6,8493.59,111.21,349.79,1030.61,89.61,237.55,2.11,177.94
7,8327.49,108.89,349.92,1031.85,89.46,236.93,2.17,174.56
8,8338.61,108.17,347.7,1018.76,88.86,234.64,2.29,169.84
9,8245.31,100.01,347.69,1011.59,90.23,230.33,2.15,150.98
10,8251.61,106.06,353.03,1029.12,90.36,233.9,2.32,159.83
11,8153.61,97.14,348.74,1016.82,89.17,230.54,2.37,148.79
12,8048.55,95.05,346.72,993.08,89.78,229.53,2.37,148.67
13,7981.22,92.38,349.87,992.44,93.24,226.35,2.03,143.94
14,7908.43,85.99,350.35,983.98,93.18,225.75,2.41,126.23
15,7759.93,77.12,344.08,961.38,88.42,225.43,2.43,108.16
16,7778.52,78.9,349.88,971.7,88.63,222.74,2.45,115.27
17,7679.29,73.17,352.6,968.68,88.41,218.9,2.2,106.51
18,7764.95,77.89,351.35,983.19,91.59,224.73,2.1,116.6
19,7705.62,76.03,356.69,995.75,89.4,221.72,2.07,105.77
20,7814.65,74.99,353.75,985.22,90.36,224.72,2.05,119.93
21,7796.21,81.56,354.35,993.43,93.0,227.64,2.21,124.96
22,7909.38,88.21,358.4,1019.39,89.98,231.4,2.33,135.32
23,7959.89,88.79,352.27,1006.15,91.06,229.9,2.4,133.18
24,8024.1,92.82,350.49,1008.34,90.78,231.68,2.13,145.31
25,8180.55,99.18,352.92,1008.04,89.12,225.61,2.2,152.99
26,8313.74,103.89,348.32,1018.05,91.59,235.22,2.21,162.64
27,8375.23,105.3,350.32,1033.74,88.73,235.62,2.14,169.39
28,8513.98,112.39,348.06,1027.8,92.01,238.05,2.36,178.11
29,8510.75,114.5,351.19,1042.74,89.12,236.2,2.31,186.25
30,8616.49,118.25,348.04,1045.36,89.28,240.75,2.31,195.08
31,8428.54,110.19,347.94,1030.15,88.37,238.77,2.3,176.63
