hour,gas_mmscfd,liq_bpd,press_psig,level_pct,foam_idx,antifoam_ppm,inlet_momentum,carryover
0,45.8,13182.0,185.3,54.9,0.63,12,0.249,0
1,42.5,13759.0,190.4,56.4,0.31,12,0.207,0
2,47.0,12648.0,176.5,57.9,0.27,0,0.282,0
3,47.6,13783.0,169.0,59.0,0.58,0,0.306,0
4,40.4,13054.0,183.0,59.9,0.55,12,0.198,0
5,42.1,13404.0,178.0,60.4,0.41,12,0.223,0
6,45.7,14451.0,179.2,60.8,0.47,12,0.261,0
7,44.7,14056.0,183.3,60.6,0.47,12,0.241,0
8,45.5,14129.0,177.3,60.1,0.45,12,0.262,0
9,43.5,12497.0,178.4,58.9,0.31,12,0.237,0
10,47.9,15029.0,179.4,57.7,0.2,0,0.286,0
11,47.7,12914.0,188.8,56.1,0.37,0,0.264,0
12,46.0,14824.0,180.2,54.5,0.64,12,0.262,0
13,48.7,14475.0,172.6,52.7,0.65,12,0.312,0
14,47.1,14169.0,172.8,51.1,0.44,12,0.292,0
15,43.9,13172.0,180.8,50.0,0.37,12,0.237,0
16,47.0,13882.0,173.2,49.0,0.5,12,0.289,0
17,43.8,13452.0,170.6,48.4,0.52,0,0.256,0
18,48.4,13807.0,183.8,48.1,0.54,12,0.283,0
19,46.2,13617.0,184.1,48.2,0.23,0,0.256,0
20,45.9,12370.0,177.8,48.8,0.81,12,0.266,0
21,44.8,14587.0,181.8,49.7,0.61,12,0.245,0
22,49.6,13750.0,181.1,51.1,0.48,0,0.302,0
23,46.2,13473.0,183.6,52.6,0.43,0,0.257,0
24,45.6,13425.0,183.6,54.1,0.61,12,0.251,0
25,45.9,14073.0,164.4,55.5,0.56,0,0.296,0
26,48.1,13201.0,178.6,56.9,0.53,12,0.29,0
27,47.8,12253.0,183.1,58.2,0.57,0,0.276,0
28,48.0,14121.0,177.5,59.1,0.51,12,0.291,0
29,48.1,14204.0,180.2,59.6,0.57,12,0.286,0
30,52.4,13705.0,184.5,59.9,0.61,0,0.329,0
31,46.1,13046.0,180.5,59.8,0.57,0,0.263,0
32,45.9,13916.0,189.0,59.3,0.57,0,0.244,1
33,45.2,12833.0,186.8,58.4,0.68,12,0.241,0
34,48.9,13143.0,179.3,57.3,0.39,0,0.298,0
35,50.2,13341.0,178.8,56.0,0.47,12,0.316,0
36,47.2,14462.0,162.9,54.3,0.56,12,0.318,0
37,45.4,13621.0,178.0,52.8,0.49,12,0.26,0
38,45.5,13565.0,171.9,51.3,0.52,12,0.274,0
39,49.3,15251.0,181.3,50.1,0.7,12,0.298,0
40,49.6,14134.0,180.9,49.2,0.56,12,0.303,0
41,49.2,14128.0,184.2,48.7,0.39,12,0.29,0
42,46.2,13636.0,188.4,48.6,0.53,12,0.248,0
43,48.5,13481.0,179.8,48.7,0.59,12,0.292,0
44,48.3,12371.0,193.7,49.4,0.59,0,0.261,0
45,48.6,14583.0,181.4,50.5,0.64,12,0.29,0
46,50.3,14223.0,172.1,51.8,0.64,12,0.334,0
47,48.7,13787.0,176.6,53.3,0.58,12,0.303,0
48,50.0,13820.0,177.8,54.9,0.48,0,0.315,0
49,48.5,14434.0,183.6,56.4,0.55,0,0.284,0
50,49.1,12834.0,174.3,57.8,0.54,12,0.313,0
51,50.0,13512.0,178.2,59.1,0.58,0,0.315,0
52,44.9,13133.0,179.0,59.9,0.68,12,0.251,0
53,47.8,15172.0,177.3,60.6,0.65,0,0.289,0
54,47.5,14547.0,184.9,60.6,0.69,12,0.269,0
55,47.1,12396.0,183.8,60.3,0.58,12,0.267,0
56,48.1,12881.0,187.0,59.8,0.77,12,0.272,0
57,52.6,13850.0,178.0,58.7,0.69,0,0.348,0
58,46.7,13615.0,187.2,57.5,0.63,12,0.256,0
59,51.4,13021.0,171.8,56.0,0.68,12,0.349,0
60,44.8,15312.0,171.7,54.4,0.56,12,0.266,0
61,48.2,14172.0,172.7,52.9,0.42,0,0.306,0
62,49.5,14288.0,180.1,51.4,0.57,12,0.304,0
63,50.6,13474.0,187.2,50.4,0.71,0,0.301,0
64,51.0,14466.0,176.4,49.4,0.64,12,0.332,0
65,51.3,13697.0,177.1,48.7,0.62,0,0.333,0
66,48.5,13767.0,178.7,48.4,0.55,12,0.294,0
67,48.3,14395.0,183.4,48.7,0.44,12,0.281,0
68,51.6,12829.0,177.1,49.3,0.78,12,0.338,0
69,49.1,15089.0,176.8,50.1,0.62,12,0.306,0
70,46.4,14101.0,171.9,51.4,0.6,12,0.285,0
71,46.8,14872.0,176.6,52.8,0.58,12,0.279,0
72,47.4,13224.0,187.1,54.4,0.77,12,0.264,0
73,51.0,13332.0,180.5,56.1,0.73,12,0.321,0
74,50.2,13167.0,175.6,57.6,0.55,12,0.323,0
75,51.6,14157.0,187.4,59.1,0.76,12,0.312,0
76,48.9,14030.0,176.5,59.8,0.63,0,0.304,0
77,50.4,13660.0,188.5,60.3,0.59,12,0.295,0
78,51.6,13276.0,188.4,60.5,0.62,12,0.31,0
79,49.3,13101.0,180.3,60.6,0.57,12,0.301,0
80,51.3,13955.0,171.0,60.2,0.52,0,0.35,0
81,48.5,13664.0,193.7,59.4,0.73,0,0.264,1
82,49.3,13511.0,182.3,58.1,0.63,0,0.296,0
83,49.3,15075.0,178.1,56.5,0.71,12,0.306,0
84,47.4,13936.0,185.7,54.9,0.68,12,0.266,0
85,51.6,14883.0,184.2,53.2,0.7,12,0.32,0
