well,depth_ft,gr,rhob,nphi,dtc,cali,bad
W-0,5000.0,66.2,2.355,0.245,91.4,8.54,0
W-0,5000.5,68.2,2.34,0.268,93.7,8.54,0
W-0,5001.0,71.3,2.317,0.253,93.8,8.53,0
W-0,5001.5,70.1,2.366,0.253,91.5,8.5,0
W-0,5002.0,67.6,2.353,0.234,85.9,8.47,0
W-0,5002.5,67.0,2.374,0.215,89.8,8.46,0
W-0,5003.0,67.0,2.311,0.278,91.1,8.56,0
W-0,5003.5,66.4,2.355,0.239,89.3,8.54,0
W-0,5004.0,75.8,2.388,0.215,87.4,8.47,0
W-0,5004.5,69.5,2.342,0.244,91.8,8.5,0
W-0,5005.0,71.7,2.357,0.241,88.0,8.48,0
W-0,5005.5,67.8,2.295,0.265,96.0,8.44,0
W-0,5006.0,68.8,2.362,0.23,90.0,8.51,0
W-0,5006.5,67.7,2.36,0.232,89.4,8.48,0
W-0,5007.0,62.0,2.296,0.265,92.7,8.45,0
W-0,5007.5,65.5,2.317,0.238,93.1,8.43,0
W-0,5008.0,64.4,2.362,0.264,92.1,8.42,0
W-0,5008.5,62.6,2.34,0.241,88.6,8.48,0
W-0,5009.0,66.2,2.327,0.265,94.7,8.5,0
W-0,5009.5,73.7,2.379,0.206,87.4,8.46,0
W-0,5010.0,69.5,2.376,0.222,88.4,8.53,0
W-0,5010.5,73.3,2.334,0.239,89.0,8.5,0
W-0,5011.0,71.1,2.297,0.286,94.6,8.53,0
W-0,5011.5,72.2,2.355,0.238,92.1,8.49,0
W-0,5012.0,66.9,2.333,0.261,90.2,8.46,0
W-0,5012.5,71.1,2.333,0.256,94.9,8.51,0
W-0,5013.0,71.9,2.294,0.27,96.0,8.44,0
W-0,5013.5,68.1,2.338,0.24,89.9,8.53,0
W-0,5014.0,71.7,2.349,0.265,93.2,8.45,0
W-0,5014.5,71.9,2.307,0.249,92.0,8.55,0
W-0,5015.0,69.4,2.377,0.215,89.5,8.48,0
W-0,5015.5,67.5,2.331,0.238,96.2,8.55,0
W-0,5016.0,67.1,2.352,0.224,92.1,8.44,0
W-0,5016.5,70.6,2.334,0.241,92.7,8.47,0
W-0,5017.0,71.6,2.342,0.227,91.0,8.52,0
W-0,5017.5,68.7,2.346,0.229,89.1,8.56,0
W-0,5018.0,71.1,2.357,0.213,89.5,8.58,0
W-0,5018.5,72.4,2.347,0.241,93.2,8.5,0
W-0,5019.0,72.2,2.32,0.276,92.5,8.59,0
W-0,5019.5,75.3,2.328,0.253,92.8,8.49,0
W-0,5020.0,74.8,2.323,0.252,95.1,8.55,0
W-0,5020.5,68.1,2.346,0.244,92.8,8.45,0
W-0,5021.0,75.9,2.358,0.219,88.0,8.52,0
W-0,5021.5,69.4,2.319,0.245,91.2,8.38,0
W-0,5022.0,74.1,2.321,0.259,94.5,8.44,0
W-0,5022.5,71.3,2.274,0.291,96.5,8.52,0
W-0,5023.0,70.2,2.363,0.255,92.4,8.43,0
W-0,5023.5,66.1,2.347,0.251,90.1,8.52,0
W-0,5024.0,71.3,2.341,0.249,94.4,8.55,0
W-0,5024.5,67.2,2.327,0.259,93.0,8.47,0
W-0,5025.0,74.9,2.368,0.238,89.6,8.45,0
W-0,5025.5,76.8,2.354,0.241,90.3,8.48,0
W-0,5026.0,69.2,2.34,0.28,90.9,8.45,0
W-0,5026.5,72.4,2.365,0.218,93.2,8.49,0
W-0,5027.0,69.1,2.355,0.241,90.9,8.51,0
W-0,5027.5,69.2,2.342,0.265,92.9,8.48,0
W-0,5028.0,73.3,2.318,0.244,92.9,8.58,0
W-0,5028.5,71.4,2.373,0.234,89.0,8.46,0
W-0,5029.0,76.4,2.368,0.221,88.0,8.57,0
W-0,5029.5,70.1,2.38,0.223,89.8,8.45,0
W-0,5030.0,73.9,2.365,0.215,88.7,8.5,0
W-0,5030.5,71.1,2.369,0.241,88.1,8.56,0
W-0,5031.0,73.2,2.338,0.256,91.8,8.56,0
W-0,5031.5,69.7,2.367,0.241,90.3,8.48,0
W-0,5032.0,71.2,2.353,0.23,92.9,8.53,0
W-0,5032.5,71.3,2.342,0.241,90.8,8.52,0
W-0,5033.0,69.0,2.35,0.233,91.9,8.47,0
W-0,5033.5,73.3,2.304,0.261,95.3,8.53,0
W-0,5034.0,73.7,2.312,0.283,91.2,8.59,0
W-0,5034.5,73.4,2.343,0.25,90.3,8.52,0
W-0,5035.0,75.7,2.354,0.229,89.3,8.53,0
W-0,5035.5,75.0,2.352,0.247,89.1,8.53,0
W-0,5036.0,69.2,2.337,0.238,93.7,8.43,0
W-0,5036.5,71.6,2.307,0.242,93.4,8.52,0
W-0,5037.0,68.7,2.343,0.226,90.3,8.45,0
