tds_mgl,oil_grease_mgl,tss_mgl,barium_mgl,sulfate_mgl,h2s_mgl,bacteria_cfu,routing
60676.0,10.7,28.2,61.2,14.5,1.82,3.0,direct_reuse
23671.0,10.3,50.4,63.7,239.9,0.61,11.0,direct_reuse
82894.0,7.2,7.6,49.4,84.5,1.66,2.0,direct_reuse
94693.0,19.8,19.5,34.1,46.5,1.21,4.0,direct_reuse
12510.0,16.6,47.6,33.0,68.3,10.08,8.0,direct_reuse
19702.0,3.2,25.9,28.0,281.6,1.56,6.0,direct_reuse
53610.0,3.0,79.3,32.8,201.2,0.27,36.0,direct_reuse
39286.0,19.7,7.0,35.5,78.2,3.15,4.0,direct_reuse
48448.0,6.5,6.3,3.7,25.7,16.81,0.0,direct_reuse
26980.0,17.7,45.4,7.8,27.8,7.81,1.0,direct_reuse
90724.0,27.2,49.0,5.8,206.1,0.39,12.0,direct_reuse
84496.0,4.3,21.0,75.8,22.1,1.16,5.0,direct_reuse
51340.0,3.8,33.8,146.2,79.0,1.58,2.0,direct_reuse
107912.0,60.8,44.5,1.5,1718.5,1.61,230.0,treat_then_reuse
68000.0,18.5,12.8,131.3,149.2,2.71,42.0,direct_reuse
26863.0,9.2,13.9,22.3,203.7,1.05,11.0,direct_reuse
63457.0,5.8,28.6,67.7,28.0,0.5,17.0,direct_reuse
25054.0,8.5,50.6,36.9,23.3,5.68,8.0,direct_reuse
90664.0,4.6,9.7,113.1,216.0,0.38,2.0,direct_reuse
47337.0,29.8,20.9,25.8,66.0,0.58,57.0,direct_reuse
43071.0,6.7,20.2,3.9,327.3,0.38,44.0,direct_reuse
30435.0,36.0,34.3,17.7,105.4,3.65,1.0,direct_reuse
115356.0,9.4,24.4,37.3,4500.7,1.89,17.0,direct_reuse
43995.0,5.3,15.9,15.5,53.5,5.2,20.0,direct_reuse
36322.0,9.2,66.6,44.2,138.1,0.59,8.0,direct_reuse
38312.0,1.3,15.9,18.6,37.6,0.32,283.0,direct_reuse
71155.0,12.1,19.4,9.8,312.7,0.93,241.0,direct_reuse
63311.0,11.6,6.9,5.5,163.1,1.3,7.0,direct_reuse
65442.0,28.3,13.9,12.6,34.9,2.16,9.0,direct_reuse
66275.0,2.5,37.1,25.7,70.9,0.19,7.0,direct_reuse
219510.0,38.3,31.7,1.9,454.4,3.07,5.0,disposal
36883.0,28.2,39.6,7.9,398.2,0.52,3.0,direct_reuse
34250.0,41.5,38.1,1.8,21.2,0.71,26.0,treat_then_reuse
27732.0,12.8,130.3,9.6,60.2,7.58,231.0,treat_then_reuse
75447.0,33.5,13.5,84.5,745.1,0.1,125.0,direct_reuse
108043.0,3.6,6.7,4.8,83.6,2.51,40.0,direct_reuse
45263.0,25.6,10.6,46.7,122.9,2.5,0.0,direct_reuse
27225.0,6.7,14.0,613.1,310.9,0.57,1.0,direct_reuse
27525.0,3.0,11.3,114.9,23.2,0.92,60.0,direct_reuse
77297.0,4.9,26.4,23.6,35.7,8.06,138.0,direct_reuse
82477.0,13.5,66.8,56.3,70.4,21.15,28.0,treat_then_reuse
71697.0,6.4,84.1,3.9,378.1,6.58,8.0,direct_reuse
30765.0,18.9,36.7,3.0,308.5,19.14,93.0,direct_reuse
57671.0,2.6,136.0,20.8,221.8,0.67,38.0,treat_then_reuse
53193.0,2.0,18.4,32.4,86.2,0.21,67.0,direct_reuse
57130.0,46.3,6.6,74.7,348.1,1.54,1.0,treat_then_reuse
90219.0,30.4,57.0,10.2,85.0,4.69,20.0,direct_reuse
57326.0,5.2,5.6,25.3,189.8,0.15,174.0,direct_reuse
78845.0,13.4,13.4,24.3,274.0,0.49,27.0,direct_reuse
51395.0,33.7,37.2,17.2,649.7,0.57,51.0,direct_reuse
60017.0,19.6,22.6,18.4,94.4,2.62,13.0,direct_reuse
76260.0,15.4,21.1,7.2,67.4,2.22,14.0,direct_reuse
17676.0,36.1,9.5,28.1,417.6,0.6,100.0,direct_reuse
39192.0,7.0,24.3,25.4,454.4,2.08,4.0,direct_reuse
35268.0,13.8,54.8,11.8,55.3,0.37,4.0,direct_reuse
31344.0,13.2,24.9,44.7,29.8,0.95,6.0,direct_reuse
40433.0,10.5,12.6,69.0,384.1,0.32,13.0,direct_reuse
139589.0,9.5,9.0,45.3,16.5,1.36,1.0,direct_reuse
26740.0,14.4,12.8,5.7,15.6,0.58,36.0,direct_reuse
96548.0,13.9,33.6,22.6,74.8,4.05,10.0,direct_reuse
15093.0,5.2,32.3,6.7,100.8,1.59,44.0,direct_reuse
38777.0,27.7,12.9,22.6,28.1,1.23,1.0,direct_reuse
54936.0,5.6,4.2,6.8,114.9,16.42,44.0,direct_reuse
73892.0,11.1,34.3,93.0,120.7,2.71,90.0,direct_reuse
80649.0,10.3,12.0,51.4,53.1,1.02,24.0,disposal
85421.0,18.6,42.6,80.1,842.9,0.77,13.0,direct_reuse
38403.0,2.0,13.4,71.0,144.4,0.36,45.0,direct_reuse
35467.0,30.0,11.1,14.5,311.5,1.51,82.0,direct_reuse
89374.0,7.3,27.7,12.1,18.1,2.46,27.0,direct_reuse
42877.0,40.4,161.8,162.4,18.0,0.14,30.0,treat_then_reuse
