p_psia,t_f,meg_wt_pct,hydrate_event
3186.0,60.1,9.8,0
1980.0,41.5,0.0,1
3491.0,66.3,0.0,1
2911.0,43.6,17.6,1
739.0,38.4,0.0,1
3912.0,62.4,0.0,1
3140.0,71.0,0.0,0
3230.0,82.0,19.9,0
861.0,78.1,8.5,0
2021.0,82.1,0.0,0
1735.0,76.8,31.7,0
3736.0,73.7,0.0,0
2718.0,35.6,21.0,1
3362.0,69.4,0.0,0
1996.0,41.6,0.0,1
1218.0,38.2,0.0,1
2397.0,43.6,37.2,0
630.0,80.3,19.0,0
3379.0,75.9,27.8,0
2674.0,87.2,0.0,0
3129.0,88.8,0.0,0
1676.0,84.1,0.0,0
3895.0,42.3,0.0,1
3615.0,83.3,0.0,0
3202.0,81.1,34.7,0
1101.0,82.9,37.6,0
2080.0,43.3,25.6,1
558.0,41.4,0.0,1
955.0,85.8,0.0,0
2859.0,44.6,28.3,1
3081.0,55.3,0.0,1
3883.0,60.1,39.1,0
1573.0,41.8,13.0,1
1734.0,36.1,0.0,1
2090.0,89.7,0.0,0
1082.0,83.2,5.0,0
868.0,85.2,24.0,0
2113.0,50.7,27.0,0
1217.0,47.1,35.4,0
2811.0,58.4,23.9,0
1974.0,59.9,0.0,1
3398.0,35.3,37.4,1
2921.0,77.9,24.8,0
1525.0,89.8,0.0,0
3396.0,64.1,0.0,0
3297.0,56.4,9.2,1
1795.0,56.6,8.4,0
1438.0,40.3,0.0,1
2857.0,49.6,26.9,0
903.0,62.6,22.9,0
1120.0,58.8,37.5,0
427.0,65.0,0.0,0
3233.0,81.7,0.0,0
2793.0,47.4,0.0,1
2939.0,36.5,9.1,1
3211.0,37.1,11.5,1
2052.0,42.4,0.0,1
2447.0,66.4,20.3,0
903.0,79.5,0.0,0
812.0,83.8,33.7,0
2806.0,69.9,0.0,0
2096.0,57.2,5.3,1
2435.0,43.5,35.3,0
3154.0,57.1,18.9,0
2685.0,53.3,0.0,1
2393.0,82.9,0.0,0
2413.0,61.8,0.0,1
1494.0,47.4,23.0,0
511.0,50.9,0.0,1
1972.0,42.5,14.2,1
1173.0,85.5,30.0,0
1871.0,37.8,0.0,1
3472.0,35.7,0.0,1
1242.0,45.1,0.0,1
610.0,79.6,20.8,0
1413.0,63.8,33.3,0
1457.0,69.4,0.0,0
2783.0,54.7,22.0,0
2405.0,38.8,0.0,1
3222.0,82.1,0.0,0
2792.0,45.6,36.2,0
1863.0,36.8,26.0,1
3330.0,66.5,0.0,1
1001.0,39.6,29.0,1
482.0,40.3,38.6,0
724.0,79.0,10.7,0
3000.0,62.0,12.9,0
2063.0,48.3,0.0,1
981.0,54.2,0.0,1
2204.0,75.1,18.0,0
948.0,38.6,31.4,0
2907.0,41.4,0.0,1
2006.0,68.9,0.0,0
1772.0,68.4,0.0,0
1485.0,88.5,0.0,0
2669.0,55.6,0.0,1
1703.0,38.6,0.0,1
716.0,64.6,0.0,0
825.0,70.1,32.4,0
3863.0,42.7,19.7,1
3671.0,65.4,0.0,1
2919.0,45.9,0.0,1
1357.0,81.5,0.0,0
3889.0,80.9,18.3,0
3204.0,58.6,12.3,0
2981.0,88.2,27.8,0
2018.0,88.9,8.9,0
1380.0,42.1,0.0,1
747.0,55.2,0.0,0
3649.0,68.0,0.0,1
2041.0,39.7,0.0,1
1129.0,56.0,0.0,1
1501.0,49.4,28.8,0
2485.0,87.4,0.0,0
1036.0,57.6,13.1,0
3484.0,76.9,0.0,0
3131.0,56.3,0.0,1
2990.0,42.2,9.8,1
1956.0,82.5,0.0,0
2658.0,35.0,0.0,1
2503.0,38.1,0.0,1
2739.0,55.0,16.1,1
704.0,72.8,0.0,0
1897.0,53.8,12.6,0
550.0,38.6,22.6,0
2178.0,52.5,22.9,0
1588.0,48.5,0.0,1
920.0,35.3,14.1,1
772.0,64.4,0.0,0
2516.0,41.4,23.8,1
1014.0,50.8,24.7,0
3730.0,70.3,0.0,1
2492.0,74.9,0.0,0
1649.0,49.5,17.5,1
2527.0,53.1,38.8,0
482.0,48.6,11.1,0
3851.0,87.6,0.0,0
2136.0,45.5,39.7,0
3218.0,45.1,21.8,1
698.0,59.5,16.1,0
2152.0,45.4,0.0,1
2167.0,43.6,22.4,1
3776.0,40.3,38.5,1
2458.0,70.2,0.0,0
2105.0,68.7,0.0,0
1361.0,70.8,0.0,0
1594.0,77.5,0.0,0
2274.0,52.9,34.7,0
1980.0,85.5,0.0,0
478.0,75.3,35.3,0
3375.0,79.3,0.0,0
3626.0,74.7,10.0,0
905.0,54.7,6.8,0
2395.0,50.6,16.9,1
791.0,58.2,22.3,0
2820.0,40.3,0.0,1
1412.0,59.8,31.0,0
2774.0,37.4,30.3,1
3017.0,35.2,0.0,1
3167.0,86.2,19.0,0
788.0,72.9,0.0,0
3698.0,65.9,30.9,0
1229.0,53.8,0.0,1
535.0,66.4,32.1,0
2397.0,84.0,0.0,0
1735.0,70.9,0.0,0
3387.0,68.1,0.0,0
3310.0,60.3,30.1,0
1542.0,54.0,0.0,1
3830.0,73.4,32.8,0
1447.0,89.0,30.8,0
2254.0,58.4,31.3,0
1321.0,56.6,0.0,1
3770.0,58.5,37.0,0
993.0,58.4,18.3,0
562.0,89.5,0.0,0
1966.0,73.9,0.0,0
3973.0,54.8,20.6,1
3610.0,55.4,0.0,1
3095.0,58.7,0.0,1
3607.0,37.0,0.0,1
3616.0,64.0,15.6,0
2268.0,79.6,22.7,0
1537.0,71.3,34.1,0
3179.0,45.9,27.3,1
2782.0,75.0,0.0,0
1745.0,74.6,0.0,0
740.0,49.4,0.0,1
3088.0,69.3,0.0,0
1345.0,68.6,0.0,0
3773.0,81.2,37.6,0
1267.0,42.5,0.0,1
