Date,Frequency_Hz,Flow_Rate_BFPD,Intake_Pressure_Psi,Discharge_Pressure_Psi,Fluid_SG
2024-01-01,55,1024,486.01,1094.31,0.85
2024-01-02,60,993,505.63,1296.04,0.85
2024-01-03,58,1032,493.49,1186.33,0.85
2024-01-04,55,1076,495.13,1082.4,0.85
2024-01-05,60,988,494.08,1279.18,0.85
2024-01-06,55,988,491.36,1123.8,0.85
2024-01-07,60,1078,500.49,1250.51,0.85
2024-01-08,60,1038,491.69,1256.06,0.85
2024-01-09,60,976,502.7,1283.01,0.85
2024-01-10,58,1027,499.5,1194.94,0.85
2024-01-11,55,976,497.61,1128.54,0.85
2024-01-12,60,976,490.92,1266.28,0.85
2024-01-13,58,1012,494.23,1208.56,0.85
2024-01-14,60,904,507.55,1309.2,0.85
2024-01-15,60,913,505.01,1298.85,0.85
2024-01-16,60,971,490.22,1269.75,0.85
2024-01-17,58,949,500.99,1231.59,0.85
2024-01-18,58,1015,507.51,1209.29,0.85
2024-01-19,60,954,483.31,1264.64,0.85
2024-01-20,58,929,505.43,1240.98,0.85
2024-01-21,55,1073,493.37,1092.43,0.85
2024-01-22,60,988,505.71,1278.42,0.85
2024-01-23,60,1003,492.37,1260.51,0.85
2024-01-24,60,928,481.95,1279.04,0.85
2024-01-25,60,972,483.72,1254.67,0.85
2024-01-26,55,1005,500.48,1110.99,0.85
2024-01-27,60,942,502.6,1288.49,0.85
2024-01-28,60,1018,490.96,1255.83,0.85
2024-01-29,55,969,506.39,1141.28,0.85
2024-01-30,60,985,483.38,1271.76,0.85
2024-01-31,60,969,499.34,1288.18,0.85
2024-02-01,60,1092,487.89,1227.19,0.85
2024-02-02,60,999,493.48,1266.29,0.85
2024-02-03,60,947,500.47,1282.82,0.85
2024-02-04,58,1041,491.4,1188.47,0.85
2024-02-05,58,938,496.15,1224.83,0.85
2024-02-06,60,1010,510.06,1281.69,0.85
2024-02-07,60,902,494.23,1291.55,0.85
2024-02-08,60,933,508.36,1306.09,0.85
2024-02-09,60,1009,488.7,1269.43,0.85
2024-02-10,60,1036,505.3,1264.75,0.85
2024-02-11,60,1008,514.42,1287.25,0.85
2024-02-12,60,994,475.28,1255.0,0.85
2024-02-13,60,984,492.03,1266.75,0.85
2024-02-14,60,926,505.77,1303.62,0.85
2024-02-15,60,964,497.97,1282.47,0.85
2024-02-16,60,976,503.71,1284.69,0.85
2024-02-17,58,1052,493.96,1181.38,0.85
2024-02-18,58,1017,500.87,1206.48,0.85
2024-02-19,55,911,498.44,1152.87,0.85
2024-02-20,60,1016,511.68,1289.67,0.85
2024-02-21,55,980,502.54,1138.7,0.85
2024-02-22,58,966,503.38,1241.46,0.85
2024-02-23,60,1030,495.88,1252.66,0.85
2024-02-24,58,1051,495.12,1195.12,0.85
2024-02-25,60,1046,495.67,1253.93,0.85
2024-02-26,55,958,503.94,1156.49,0.85
2024-02-27,55,984,495.79,1117.7,0.85
2024-02-28,60,1016,502.9,1263.91,0.85
2024-02-29,58,1048,520.75,1210.89,0.85
2024-03-01,55,976,508.71,1123.71,0.85
2024-03-02,60,990,496.74,1267.68,0.85
2024-03-03,60,944,512.01,1294.92,0.85
