Sample_ID,Porosity_frac,Permeability_md,Pc_psi,Sw_frac,IFT_dynes_cm,Contact_Angle_deg
1,0.1808,22.11,26.73,0.3454,30,0
2,0.149,10.32,6.36,1.0,30,0
3,0.1624,26.5,18.33,0.4236,30,0
4,0.2347,75.76,0.78,1.0,30,0
5,0.109,9.2,9.35,0.9283,30,0
6,0.1257,9.2,41.66,0.4334,30,0
7,0.1858,81.05,4.8,0.7806,30,0
8,0.218,30.6,0.77,1.0,30,0
9,0.1228,6.94,13.12,0.8635,30,0
10,0.2194,23.36,6.58,0.9894,30,0
11,0.1438,6.99,7.16,1.0,30,0
12,0.1366,6.97,13.1,0.7095,30,0
13,0.1499,16.29,14.58,0.6071,30,0
14,0.0372,1.23,8.63,1.0,30,0
15,0.0777,1.54,10.63,1.0,30,0
16,0.1216,6.2,74.99,0.2462,30,0
17,0.0746,3.61,47.25,0.3442,30,0
18,0.1347,17.76,18.43,0.5483,30,0
19,0.0872,4.1,2.64,1.0,30,0
20,0.1186,2.24,6.69,1.0,30,0
21,0.2646,70.72,32.2,0.3008,30,0
22,0.1433,9.29,8.26,1.0,30,0
23,0.1562,13.21,46.64,0.3559,30,0
24,0.0749,2.2,10.05,1.0,30,0
25,0.1052,6.34,29.68,0.4251,30,0
26,0.1828,13.92,0.54,1.0,30,0
27,0.1322,3.06,8.54,1.0,30,0
28,0.1502,19.12,18.07,0.3859,30,0
29,0.1195,5.93,29.88,0.4462,30,0
30,0.127,8.58,14.11,0.713,30,0
31,0.1127,5.92,2.85,1.0,30,0
32,0.2626,112.48,32.55,0.2282,30,0
33,0.1231,11.99,12.83,0.6718,30,0
34,0.1086,3.42,1.71,1.0,30,0
35,0.204,32.69,9.35,0.6726,30,0
36,0.0886,2.82,18.01,0.8219,30,0
37,0.1779,15.65,9.0,0.9009,30,0
38,0.0589,1.16,30.69,0.6021,30,0
39,0.1106,2.47,8.27,1.0,30,0
40,0.129,15.43,13.14,0.7026,30,0
41,0.1785,29.55,3.56,1.0,30,0
42,0.1568,14.96,10.78,0.7931,30,0
43,0.091,10.6,3.78,1.0,30,0
44,0.1138,8.49,3.83,1.0,30,0
45,0.0628,2.07,4.93,1.0,30,0
46,0.1344,5.14,0.68,1.0,30,0
47,0.1138,7.01,2.67,1.0,30,0
48,0.1844,43.32,8.28,0.6536,30,0
49,0.1828,18.4,2.11,1.0,30,0
50,0.033,1.47,2.15,1.0,30,0
51,0.1241,17.97,51.6,0.292,30,0
52,0.1243,7.67,8.36,0.9465,30,0
53,0.0886,5.41,7.76,1.0,30,0
54,0.1512,25.38,4.67,1.0,30,0
55,0.211,41.98,10.78,0.7247,30,0
56,0.2122,37.25,13.6,0.5092,30,0
57,0.1255,4.45,8.12,1.0,30,0
58,0.1573,8.41,7.51,1.0,30,0
59,0.1907,18.13,18.08,0.5536,30,0
60,0.1543,39.28,44.87,0.2374,30,0
61,0.136,6.86,31.53,0.3493,30,0
62,0.1305,9.75,1.89,1.0,30,0
63,0.0819,3.23,15.85,0.8257,30,0
64,0.1038,2.9,0.5,1.0,30,0
65,0.1544,32.3,15.04,0.3854,30,0
66,0.1801,62.02,9.36,0.4528,30,0
67,0.1592,11.17,10.13,0.9056,30,0
68,0.2079,40.62,13.3,0.4712,30,0
69,0.1701,18.8,20.36,0.4112,30,0
70,0.1014,5.62,19.61,0.6112,30,0
71,0.1822,18.8,0.68,1.0,30,0
72,0.2374,77.14,20.01,0.3555,30,0
73,0.15,11.67,26.56,0.5644,30,0
74,0.2016,79.64,1.06,1.0,30,0
75,0.02,0.53,5.85,1.0,30,0
76,0.2062,32.66,23.56,0.3566,30,0
77,0.1807,13.52,10.19,0.8758,30,0
78,0.1291,8.51,17.81,0.6318,30,0
79,0.1494,13.6,10.47,0.8254,30,0
80,0.0514,1.12,57.4,0.3757,30,0
81,0.145,9.36,41.28,0.3379,30,0
82,0.1555,18.7,4.95,1.0,30,0
83,0.1631,71.77,7.31,0.6191,30,0
84,0.149,6.54,8.47,1.0,30,0
